Решение уравнения f''(x) = 0 c с точностью 1e-12

     [        left         -        right        ],       mid_value       
1  : [ 0.4000000000000000  -  0.4250000000000000 ],  +0.00344840839885063 
2  : [ 0.4125000000000000  -  0.4250000000000000 ],  -0.00892414882650616 
3  : [ 0.4125000000000000  -  0.4187500000000000 ],  -0.00280845641140015 
4  : [ 0.4125000000000000  -  0.4156250000000000 ],  +0.00030229003386117 
5  : [ 0.4140625000000000  -  0.4156250000000000 ],  -0.00125749979285938 
6  : [ 0.4140625000000000  -  0.4148437500000000 ],  -0.00047870964379948 
7  : [ 0.4140625000000000  -  0.4144531250000000 ],  -0.00008848607248213 
8  : [ 0.4140625000000000  -  0.4142578125000000 ],  +0.00010683290427083 
9  : [ 0.4141601562500000  -  0.4142578125000000 ],  +0.00000915614798158 
10 : [ 0.4142089843750000  -  0.4142578125000000 ],  -0.00003966927907895 
11 : [ 0.4142089843750000  -  0.4142333984375000 ],  -0.00001525764477472 
12 : [ 0.4142089843750000  -  0.4142211914062500 ],  -0.00000305101820564 
13 : [ 0.4142089843750000  -  0.4142150878906250 ],  +0.00000305249743615 
14 : [ 0.4142120361328125  -  0.4142150878906250 ],  +0.00000000072275275 
15 : [ 0.4142135620117188  -  0.4142150878906250 ],  -0.00000152515194252 
16 : [ 0.4142135620117188  -  0.4142143249511719 ],  -0.00000076221564926 
17 : [ 0.4142135620117188  -  0.4142139434814454 ],  -0.00000038074671149 
18 : [ 0.4142135620117188  -  0.4142137527465821 ],  -0.00000019001204565 
19 : [ 0.4142135620117188  -  0.4142136573791504 ],  -0.00000009464466366 
20 : [ 0.4142135620117188  -  0.4142136096954346 ],  -0.00000004696096001 
21 : [ 0.4142135620117188  -  0.4142135858535767 ],  -0.00000002311910441 
22 : [ 0.4142135620117188  -  0.4142135739326477 ],  -0.00000001119817661 
23 : [ 0.4142135620117188  -  0.4142135679721832 ],  -0.00000000523771293 
24 : [ 0.4142135620117188  -  0.4142135649919510 ],  -0.00000000225747998 
25 : [ 0.4142135620117188  -  0.4142135635018349 ],  -0.00000000076736351 
26 : [ 0.4142135620117188  -  0.4142135627567768 ],  -0.00000000002230527 
27 : [ 0.4142135620117188  -  0.4142135623842478 ],  +0.00000000035022363 
28 : [ 0.4142135621979833  -  0.4142135623842478 ],  +0.00000000016395840 
29 : [ 0.4142135622911155  -  0.4142135623842478 ],  +0.00000000007082646 
30 : [ 0.4142135623376816  -  0.4142135623842478 ],  +0.00000000002426059 
31 : [ 0.4142135623609647  -  0.4142135623842478 ],  +0.00000000000097677 
32 : [ 0.4142135623726063  -  0.4142135623842478 ],  -0.00000000001066436 
33 : [ 0.4142135623726063  -  0.4142135623784270 ],  -0.00000000000484324 
34 : [ 0.4142135623726063  -  0.4142135623755167 ],  -0.00000000000193401 
35 : [ 0.4142135623726063  -  0.4142135623740615 ],  -0.00000000000047784 
