Решение уравнения f(x) = 0 c с точностью 1e-12

     [        left         -        right        ],       mid_value       
1  : [ 0.4000000000000000  -  0.4250000000000000 ],  +0.00000000168238154 
2  : [ 0.4125000000000000  -  0.4250000000000000 ],  -0.00000003086357522 
3  : [ 0.4125000000000000  -  0.4187500000000000 ],  -0.00000000093487387 
4  : [ 0.4125000000000000  -  0.4156250000000000 ],  +0.00000000000114841 
5  : [ 0.4140625000000000  -  0.4156250000000000 ],  -0.00000000008332898 
6  : [ 0.4140625000000000  -  0.4148437500000000 ],  -0.00000000000458156 
7  : [ 0.4140625000000000  -  0.4144531250000000 ],  -0.00000000000002989 
8  : [ 0.4140625000000000  -  0.4142578125000000 ],  +0.00000000000005015 
9  : [ 0.4141601562500000  -  0.4142578125000000 ],  -0.00000000000000105 
10 : [ 0.4141601562500000  -  0.4142089843750000 ],  +0.00000000000000799 
11 : [ 0.4141845703125000  -  0.4142089843750000 ],  +0.00000000000000067 
12 : [ 0.4141967773437500  -  0.4142089843750000 ],  -0.00000000000000025 
13 : [ 0.4141967773437500  -  0.4142028808593750 ],  +0.00000000000000089 
14 : [ 0.4141998291015625  -  0.4142028808593750 ],  +0.00000000000000036 
15 : [ 0.4142013549804687  -  0.4142028808593750 ],  +0.00000000000000019 
16 : [ 0.4142021179199218  -  0.4142028808593750 ],  +0.00000000000000008 
17 : [ 0.4142024993896484  -  0.4142028808593750 ],  -0.00000000000000006 
18 : [ 0.4142024993896484  -  0.4142026901245117 ],  -0.00000000000000022 
19 : [ 0.4142024993896484  -  0.4142025947570800 ],  +0.00000000000000033 
20 : [ 0.4142025470733642  -  0.4142025947570800 ],  -0.00000000000000008 
21 : [ 0.4142025470733642  -  0.4142025709152221 ],  -0.00000000000000044 
22 : [ 0.4142025470733642  -  0.4142025589942931 ],  -0.00000000000000008 
23 : [ 0.4142025470733642  -  0.4142025530338287 ],  -0.00000000000000036 
24 : [ 0.4142025470733642  -  0.4142025500535964 ],  -0.00000000000000047 
25 : [ 0.4142025470733642  -  0.4142025485634803 ],  -0.00000000000000006 
26 : [ 0.4142025470733642  -  0.4142025478184223 ],  -0.00000000000000028 
27 : [ 0.4142025470733642  -  0.4142025474458932 ],  -0.00000000000000044 
28 : [ 0.4142025470733642  -  0.4142025472596287 ],  -0.00000000000000008 
29 : [ 0.4142025470733642  -  0.4142025471664964 ],  +0.00000000000000058 
30 : [ 0.4142025471199303  -  0.4142025471664964 ],  -0.00000000000000019 
31 : [ 0.4142025471199303  -  0.4142025471432134 ],  +0.00000000000000064 
32 : [ 0.4142025471315718  -  0.4142025471432134 ],  -0.00000000000000025 
33 : [ 0.4142025471315718  -  0.4142025471373926 ],  -0.00000000000000067 
34 : [ 0.4142025471315718  -  0.4142025471344822 ],  +0.00000000000000000 
35 : [ 0.4142025471315718  -  0.4142025471330271 ],  -0.00000000000000058 
